week_index,day_index,Shift,Hour,Avg_PassengersHour_3yr,Avg_BoothsHour_3yr
5,4,16-00,22,289,6
5,4,16-00,23,213,6
5,5,00-08,0,288,5
5,5,00-08,1,172.3333333,5
5,5,00-08,2,178,5
5,5,00-08,3,241.5,4.5
5,5,00-08,4,175,5
5,5,00-08,5,173,7
5,5,00-08,6,310.6666667,7
5,5,00-08,7,598,11
5,5,08-16,8,957.6666667,16.66666667
5,5,08-16,9,731,17
5,5,08-16,10,222.3333333,8.666666667
5,5,08-16,11,687,9
5,5,08-16,12,183,9.666666667
5,5,08-16,13,286.3333333,11.66666667
5,5,08-16,14,840.3333333,15.66666667
5,5,08-16,15,1618.666667,20.66666667
5,5,16-00,16,608,18.66666667
5,5,16-00,17,331,14.33333333
5,5,16-00,18,338.6666667,11
5,5,16-00,19,711,13
5,5,16-00,20,440.6666667,12.33333333
5,5,16-00,21,283.6666667,8.666666667
5,5,16-00,22,354,6
5,5,16-00,23,237,6.5
5,6,00-08,0,150,4
5,6,00-08,1,256.5,4.5
5,6,00-08,2,153,3.666666667
5,6,00-08,3,166,4.666666667
5,6,00-08,4,338,6
5,6,00-08,5,603.3333333,7
5,6,00-08,6,199.3333333,6.333333333
5,6,00-08,7,163,6
5,6,08-16,8,882,12.66666667
5,6,08-16,9,534,10
5,6,08-16,10,172,6
5,6,08-16,11,469,8
5,6,08-16,12,83,5.5
5,6,08-16,13,506,12.66666667
5,6,08-16,14,1027.333333,14.33333333
5,6,08-16,15,937.6666667,15.66666667
5,6,16-00,16,1290.666667,18.66666667
5,6,16-00,17,302.3333333,14
5,6,16-00,18,726.5,11.5
5,6,16-00,19,671.6666667,13.33333333
5,6,16-00,20,988.3333333,12.33333333
5,6,16-00,21,152.5,8
5,6,16-00,22,336.5,5.5
5,6,16-00,23,340.3333333,6
5,7,00-08,0,228.6666667,4.333333333
5,7,00-08,1,228.6666667,4.333333333
5,7,00-08,2,255,4.5
5,7,00-08,3,340,5
5,7,00-08,4,340,5
5,7,00-08,5,369.6666667,6.666666667
5,7,00-08,6,330.6666667,8.666666667
5,7,00-08,7,369.5,13.5
5,7,08-16,8,877.6666667,17
5,7,08-16,9,450.3333333,11.66666667
5,7,08-16,10,348.5,9
5,7,08-16,11,168,8
5,7,08-16,12,226.5,7
5,7,08-16,13,526.6666667,11.33333333
5,7,08-16,14,882.3333333,16.33333333
5,7,08-16,15,1461.333333,17.66666667
5,7,16-00,16,595.3333333,18.33333333
5,7,16-00,17,739.5,15.5
5,7,16-00,18,358,11
5,7,16-00,19,881.5,13
5,7,16-00,20,648.3333333,15
5,7,16-00,21,326,10.33333333
5,7,16-00,22,334,7.333333333
5,7,16-00,23,257.3333333,6.666666667
